MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-2-9,54,46,37,36,34,31,82,66,50,30.12,30.01,29.94,10,10,10,21,9,27,T,7,,205
2014-2-10,53,44,34,34,30,25,82,62,42,30.16,30.03,29.93,10,10,10,21,7,27,T,3,Rain,9
2014-2-11,49,36,23,26,22,20,88,60,31,30.25,30.17,30.07,10,10,10,9,2,13,0.00,0,,101
2014-2-12,61,43,24,29,24,21,88,56,24,30.25,30.17,30.06,10,10,10,12,3,16,0.00,1,,202
2014-2-13,66,50,34,29,24,16,64,40,16,30.14,30.05,29.97,10,10,10,23,7,29,0.00,3,,214
2014-2-14,69,53,36,33,25,18,64,41,17,30.09,30.02,29.98,10,10,10,17,7,24,0.00,1,,190
2014-2-15,59,47,35,29,21,18,52,38,23,30.06,29.99,29.92,10,10,10,18,8,22,0.00,0,,195
2014-2-16,64,53,42,21,15,6,37,25,12,30.19,29.95,29.83,10,10,10,28,14,37,0.00,0,,236
2014-2-17,62,41,20,20,11,1,68,38,8,30.20,30.07,29.94,10,10,10,23,7,31,0.00,0,,191
2014-2-18,61,46,31,22,14,2,48,29,9,30.05,29.98,29.94,10,10,10,12,6,15,0.00,1,,160
2014-2-19,60,45,29,23,12,3,64,38,12,30.04,29.84,29.68,10,10,10,35,14,57,0.00,2,,226
2014-2-20,46,30,13,10,5,1,73,45,16,30.30,30.19,30.06,10,10,10,16,7,23,0.00,0,,23
2014-2-21,55,39,22,17,15,10,62,42,21,30.14,30.03,29.93,10,10,10,14,4,19,0.00,2,,131
2014-2-22,58,40,21,19,14,3,74,42,10,30.01,29.94,29.87,10,10,10,14,6,18,0.00,0,,205
